company,job title,level,full description,seniority level,employment type,job function,industries,job id
Fusion Medical Staffing,Peds RN,Mid-Senior level,"Facility DetailsFacility: Please Contact for facility infoFacility Type: Short Term Acute Care HospitalNumber Of Beds: 221Trauma Center: Level IIPediatric Trauma Center: NoCharting System: Epic, Epic Systems Corporation - Epic Systems Corporation-IdentityJob DetailsStarts: 04/29/2024Assignment Length: 13Shift: NightCall Off Policy: Hours GuaranteedJob Quantity: 2Type: TravelJob DescriptionInterested in making a positive impact? You’ve come to the right place. At Fusion Medical Staffing, our goal is to improve the lives of everyone we touch, and we’re always looking for people like you to join our mission.And making a difference isn’t the only perk of traveling with us. Start your medical travel career with Fusion Medical Staffing and gain access to competitive pay packages, comprehensive benefits, corporate discounts and perks, a clinical team to support you along your journey, and a recruiter determined to help you succeed. We’ve got your back so you can focus on what you do best: helping others._______________________________________________________Registered Nurse - PediatricPosition: Registered NurseSpecialty: Pediatric13 week Pediatric Registered Nurse travel assignmentClient in Joplin, MO is looking for a Pediatric Registered Nurse to help them out for 13 weeks.At Fusion Medical, we truly believe that as people taking care of people, together we can do anything.Benefits IncludePaid Time Off (PTO) after 1560 hoursHighly competitive payBest in the industry Medical, Dental, and VisionShort term disability401(k)Aggressive Refer-a-friend Bonus ProgramYour recruiter is available 24-7Reimbursement for licensure and CEU’s Qualifications/Requirements:One to three years experience as a Registered Nurse preferredOther certifications may be required for this positionCritical thinking, service excellence and good interpersonal communication skills, ability to read/comprehend written instructions, ability to follow verbal instructions, PC skillsPhysical Abilities: Remain in a stationary position, move about, move equipment (50-100lbs), pushing, pulling, bending. The following is a summary of the major job duties of this job. Other duties may be performed, both major and minor, which are not mentioned below. Specific activities may change from time to time. Communicates and collaborates with physicians and other health team members. Provides and coordinates patient care with other health team members. Monitors patients' responses to interventions and reports outcomes. Administers medications as ordered with appropriate documentation. Monitor and evaluates patients before, during, and post procedure depending on unit. Shares on-call responsibilities with a 30-minute response time if required. Maintains cleanliness of rooms and adequate stock of supplies. Transports patients as needed. Performs other duties as assigned. Required Essential SkillsInterpersonal Skills - to work effectively with a variety of personnel (professional and ancillary) to present a positive attitude and a professional appearance. Technical/Motor Skills - Ability to grasp, fine manipulation, pushing/pulling and able to move about when assisting with procedures and/or using department equipment. Mental Requirements - Must be able to cope with frequent contact with the general public, customers, and meeting deadlines under pressure. Must be able to work under close supervision occasionally as well as working without assistance from other personnel. Must be able to contend with irregular activity schedules occasionally and continuous concentration to detail. Sensory - Visual acuity, ability to effectively communicate **Fusion is an EOE/E-Verify Employer**",Mid-Senior level,Contract,Health Care Provider,Hospitals and Health Care,3876318746
Mutual of Omaha Mortgage,Executive Assistant - Mortgage,Mid-Senior level,"We are searching for an Executive Assistant to join our team!This position provides a variety of marketing and administrative day-to-day services to our team of loan originators and sales managers. Day to day duties will include providing general marketing and technology support to our loan officers, preparing corporate correspondences, maintaining our internal technology platforms, and preparing production reports as needed. This position will also be responsible for the overall coordination of projects and events, ensuring deadlines are met.Responsibilities:Provide day-to-day assistance to Loan Officers via Sales Support Help DeskCoordinate monthly training calendar Manage internal roster of sales team, accounting for new hires and terminationsCreate collateral including powerpoints, agendas, and flyersManage webinar and internal meeting platformsDocument internal procedures and maintain web-based document library, auditing as neededCreate internal forms and job aids for the sales teamManage logistics for internal meetings, events, and corporate sponsorshipsCoordinate special projects as requiredPrepare production reports for senior managementPerform general administrative duties as neededIdentify and initiate opportunities for process improvement Requirements:BA or BS in Business, Marketing or related field preferredExcellent Microsoft Power Point and Excel skillsEncompass experience a plusSalesforce experience a plusHighly structured and organized with ability to balance competing timelinesExcellent oral and written communication skills3-5 years administrative support experienceBasic knowledge of mortgage lending Salary Range for role is $75,000 - $100,000Powered by JazzHRqLYsBqBZ7H",Mid-Senior level,Full-time,Administrative,Internet Publishing,3876190047
Greywind Marketing Inc,Marketing Team Lead,Entry level,"Are you ready to CHALLENGE yourself to DIVE DEEP and THINK BIG? Greywind Marketing is a team of passionate professionals who have turned clever ideas into a unique and thriving business. There is a reason why Greywind Marketing is the nation’s leader in the marketing and sales industry. Simply put, it's our people. Our Marketing Team Lead is play a crucial role in the future of our company and communities. We are a dynamic, passionate team enthusiastic about delivering top-quality products and programs that continue to raise the bar!Perks of working as a Marketing Team Lead with us:Complete training Growth-focused environmentHoliday closuresCommunity involvement and volunteer events Company Parties and team bonding activitiesDiverse and upbeat workplace cultureThis Marketing Team Lead position is ideal for an individual who is looking to grow their marketing skills in a challenging, dynamic work atmosphere with the support of a cross-functional marketing and sales team. Our Marketing Associates have the opportunity to get involved in a wide variety of marketing-related areas, pitching in wherever the need is greatest while also carving out areas of professional development. As a Marketing Team Lead with us, You will be the face of the company and promote our client’s brand to prospective new clients via direct marketing campaigns. By building and maintaining trusting relationships with customers and industry partners we are able to help forward-thinking companies transform how they accomplish their most challenging projects.Marketing Team Lead Responsibilities: Generate and produce innovative marketing and sales campaignsEstablish, develop, and maintain new partnerships with potential clientsMarket and promote products direct to consumer by conducting face-to-face sales and marketing presentationsDeliver in-depth product knowledge to customers and educate them on the benefits of each product or service to successfully impact sales performance and increase sales marginAssist with the overall marketing plan for each client brand by attending daily meeting with the marketing and sales teamManage, analyze, and report the results of customer marketing initiatives to Account Management staffMarketing Team Lead Requirements:Experience in marketing, sales, direct sales, promotions, or public relations preferredAbility to provide results under pressureStrong interpersonal communication abilities with the capability to negotiate and persuade clientsMust be a self-starter who excels at multitasking and thrives in a fast-paced atmosphereTeam Player with a collaborative resilient attitude and a passion for what you doConfident in a large group environment and with face to face consumer interactionAbility to work both independently and in a group settingPowered by JazzHREQcIzj1BzE",Entry level,Full-time,Marketing and Sales,Internet Publishing,3876190126
Tropical Haven Journeys,Customer Support Representative (Remote),Entry level,"Introduction:Join us as an Entry Level Travel Assistant, where you'll be instrumental in facilitating seamless travel experiences for both our clients and employees. This role is perfect for individuals who have a deep passion for travel, exceptional organizational abilities, and a dedication to providing top-notch customer service. You'll collaborate closely with clients, assisting them in crafting travel itineraries, arranging accommodations, and managing related logistics.Responsibilities:Travel Arrangement:Aid in the booking of flights, accommodations, rental cars, and other transportation options for clients and employees.Conduct thorough research to recommend travel options that meet budgetary constraints and align with individual preferences.Ensure accuracy and timeliness in preparing all travel documents and itineraries.Customer Service:Serve as the primary point of contact for travelers, promptly addressing any inquiries or concerns with professionalism.Deliver exceptional customer service to guarantee a positive and memorable travel experience for all clients and employees.Itinerary Management:Create and maintain detailed travel itineraries, encompassing flight schedules, hotel reservations, and activity bookings.Collaborate with various vendors and service providers to secure all necessary components for seamless travel arrangements.Prepare quotes, itineraries, and invoices related to travel expenses for client review and approval.Qualifications:High school diploma or equivalent; a degree in hospitality, tourism, or a related field is advantageous.Strong organizational skills with the ability to multitask effectively.Excellent communication skills and a customer-centric mindset.Attention to detail and the capability to thrive in a fast-paced environment.A genuine passion for travel coupled with a willingness to continuously learn and adapt.Perks:Remote work flexibility promoting a healthy work-life balance.Access to exclusive travel perks, discounts, and special offerings.Opportunity to contribute significantly to creating unforgettable travel experiences.Continuous training and professional development opportunities to enhance your skills.Collaborative team environment fostering creativity and personal growth.Competitive compensation package with performance-based incentives.Benefits:Flexible schedule.Travel perks.Licensed & bonded.Personal website.E&O insurance with fraud protection.Daily training available.Travel agent certification.Business opportunity.Full training provided.Work full-time or part-time.No prior experience necessary.Powered by JazzHRPs45YjPIXb",Entry level,Full-time,Other,Internet Publishing,3876190960
Zipfizz Corporation,START IMMEDIATELY / Product Demonstrator / Inside Costco (Carlsbad),Entry level,"To be considered for this position, please submit your resume AND take a few minutes to complete the assessment test via the link below.Zipfizz Corporation Brand Promoter Earn up to $30 per hour* Steady part-time job with potential of full time pay Amazing product you can be proud to promote PAID training this week Weekly paychecks via direct deposit Advancement opportunities A supportive, compassionate, and dedicated teamClick links below to check us out:REQUIREMENTS:✓ Reliable Transportation✓ Smartphone✓ Outgoing and Fun Personality✓ Ability to Stand for an 8 Hour Shift✓ Ability to lift up to 40 pounds regularly✓ 18+ years of ageZIPFIZZ IS A VITAMIN, ENERGY & HYDRATION DRINK COMPANY:Zipfizz is designed to enhance your energy without the sugar crash! Simply add to water, shake, and watch it fizz up for a refreshing charge you can feel and benefits you can’t beat. Think 4 to 6 hours of clear, focused energy.And what about stress, memory, and attitude? Zipfizz has that covered too, thanks to B12.On top of that, Zipfizz has zero sugar and is loaded with 24 nutritional ingredients, antioxidants, electrolytes, and vitamins — all added to improve your wellbeing.TO APPLY:Reply to this posting with your resume. You MUST also complete the quick 10 min or less assessment test to be considered.PAY SCALE: Earn up to $30 per hour*$15 or Minimum Wage per hour (whichever is higher) plus piece-rate commission on 1 to 69 boxes sold.Piece-Rate Commission per box sold:Boxes 1 to 29 $1.00Boxes 30-39 $1.25Boxes 40-49 $1.50Boxes 50-69 $1.75$27.00 per hour if 70-79 boxes sold$28.00 per hour if 80-89 boxes sold$29.00 per hour if 90-99 boxes sold$30.00 per hour 100 or more boxes soldNo Commission on Training DaysNo Commission if working less than 4 hour shiftBENEFITS:401k with Safe Harbor Match available to employees meeting eligibility requirements.Powered by JazzHRh3rNZaBs9e",Entry level,Part-time,Sales and Business Development,Internet Publishing,3876190448
Grillo's Pickles,Project Manager,Associate,"Who Are We?Grillo’s Pickles is a Boston-native company founded in 2008. Over the past 15 years, we have grown from selling our 100-year-old pickle recipe out of a handmade pickle cart on the streets of Boston to a nationwide brand with passionate fans across all corners of the US. Now part of the Irresistible Foods Group (IFG) along with King’s Hawaiian and Shaka Tea, we are continuing to redefine the pickle category and show the world that good is not good enough. Not bad for a pickle in a lawn chair.We're in the business of fresh. Fresh is more than a clean ingredient label or where we're sold. It's about creating fresh products out of a handmade pickle cart and flipping the script on how to build an amazing brand with a passionate fan base. It's about sharing our fresh perspective, style, and values with the world. It's about punching above our weight class, shooting our shot, saying “yes” to big opportunities and then figuring it out. We are fearlessly passionate, authentic, and true to who we are. We accredit our growth to our commitment to staying true to our roots and never straying away from the values that drive us:Quality First. We can’t say we make the World’s Best Pickle if we don’t. Our brand is built entirely on delivering an incredible experience, one pickle at a time, and the trust we earn from our customers and fans that keeps them coming back for more. We’re committed to quality even if it’s harder, takes longer, or costs more. We won’t cut corners or settle for less. And quality first is not just for our products, but our people too.Hustle Harder. Other brands might have bigger budgets, but we have heart, grit, and resourcefulness, and they’ve gotten us this far. We do more with less. We think bolder and more creatively to overcome roadblocks and turn scrappy ideas into huge opportunities.Respect & Dignity. When we started out, the people in the park were our first customers. We didn’t care if they lived there, worked nearby, or were just passing through. Our pickles brought them together. Everyone is welcome to be a part of this thing we’re building. No prejudices, no assholes. We show everyone the same respect, honesty, and kindness that we would want shown to us.Drive Fast, Take Smart Chances. The ability to listen to our fans, our partners, and the market and react quickly lets us take advantage of unique opportunities that others can’t. Being responsive, willing to take risks, and embrace the unconventional approach is what sets us apart and will help us get and stay ahead of the competition.Positive Vibes. From the earliest days in the park to NY Pickle Fest to Expo, we can turn anything into a party. We don’t take ourselves too seriously, and we aren’t afraid to be ourselves – make a little noise, have some fun, and stand out. We started out making pickles for a living – that’s insane.These values are not only what drive us, but also what we seek in all members at all levels in our company. If this sounds like something you want to be a part of, why don’t you join our family?Who Are You?You are an authentic, dedicated, and creative problem solver who is highly motivated by the opportunity to take the growth of a fast-growing brand to the next level. You don’t “manage” people or things; you “lead” them, you “create” them. You’re a thinker, builder, and an inspirer, not a manager. You see problems to be solved as more than problems – you see them as opportunities to be realized. Your associates trust you and would use words like “collaborative” and “creative” to describe you. They might even go so far as to say that they are unusually comfortable with you swimming (a bit) in their lane because you add so much value when you do, and you always do it respectfully. You model behaviors and activities that set a standard for those around you. You care much more about getting the right things done than about who gets the credit for doing them. You are a “get stuff done” kind of person who gets things done so fast, efficiently, and effectively that it usually surprises those around you.Key Responsibilities:This Project Manager will report directly to the Head of Strategic Initiatives and drive critical projects for the Operations team from inception to completion, all of which ladder up to one of Grillo’s key strategic imperatives: “Develop Unmatched Seed to Table Expertise.” You will ensure that the cross-functional teams have a clear understanding of what each stakeholder is accountable for and monitor timelines to keep projects on track to a smooth completion. Key responsibilities include:Developing and maintaining project plans, including timelines, budgets, and deliverablesCoordinating and leading regular meetings to ensure the team is clear on project status, outstanding needs, and assigned tasksHolding the internal team and external stakeholders accountable for project deliverables and recapsWorking with the project team to quickly to identify and resolve issuesPreparing and delivering executive-level status reports for leadership by first gathering, analyzing, and summarizing relevant informationConducting post-project evaluation and identifying successful project elements and areas of improvementSkills & Experience:A bachelor’s degree or master's degree in a related field5+ years of experience in a project management or related fieldProven experience leading projects from inception to completion in a timely mannerMeticulous planner and skilled multitasker, able to handle multiple projects at one timeAbility to analyze and interpret data and financials, budget management experienceEnterprise / cross-functional project experienceOutstanding interpersonal and communication skills, comfortable leading meetings and coordinating with various departments and senior managersHigh emotional intelligence, empathy, awareness, and what we call the “3 Cs of Thinking” (critical thinking, collaborative thinking, and intensely curious thinking)Embodiment of Grillo’s values and always conducting oneself in a professional mannerDedication to continuous improvement in a dynamic environmentExperience overseeing construction projects is a plusProject Management Professional (PMP) certification is a plusExperience using project management software is a plus (e.g., MS Project, Asana, Smartsheet)Based in Westwood, MA (south of Boston)Ability to travel up to 25% (will vary by project)We work in a hybrid environment - we are in the office Tuesday through Thursday and remote on Monday and Friday.Grillo’s Pickles is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment.",Associate,Full-time,Project Management,Food and Beverage Manufacturing,3876340177
Donner Music,Product Manager,Mid-Senior level,"The ideal candidate is an analytical team player who will be responsible for working with a team of high performing individuals who own the entire product lifecycle from strategy to evaluation. You will also work cross-functionally to complete product roadmaps and discover new opportunities in Music Industry. ResponsibilitiesDrive the development and execution of innovative product strategies for Donner&#39;s business in musical instruments, audio electronics and accessories.Develop comprehensive product roadmaps and execution plans, aligning with market goals and the overall brand strategy.Analyze market trends and consumer behaviors to identify and quantify growth opportunities.Collaborate closely with the R&D team, providing technical and strategic support for promoting new product and enhancing capabilities.Utilize sales analytics tools to monitor performance and adapt strategies as needed.Evaluate promotional plans to ensure consistency with the brand and product strategy.Qualifications10+ years of experience in Product, or Category Management in the consumer packaged goods industry, Music Industry preferred.Strong analytical and problem-solving skills, with a passion for music; Experience playing musical instruments is preferred.Experience in managing the product strategy from concept to execution.Ability to travel domestically, occasionally internationally.",Mid-Senior level,Contract,"Product Management, Project Management, and Strategy/Planning","Retail Musical Instruments, Audio and Video Equipment Manufacturing, and Musicians",3876305040
State of Maryland,DATA ANALYST-ADMINISTRATOR I Office of the Comptroller,Mid-Senior level,"IntroductionOPEN TO ALL QUALIFIED APPLICANTSThis is a position specific recruitment. The resulting certified eligible list may be used to staff several current and future vacancies for this position/function only.GRADE16LOCATION OF POSITIONAnnapolis, MDPOSITION DUTIESPerformance management helps government entities use technology and data to openly set goals, hold participants accountable, connect to stakeholders, track progress, and achieve results. By collecting and analyzing data and evidence, determining the desired outputs and outcomes, and linking data to overarching priorities, government leaders can use performance management to best administer policies and programs to the benefit of their community and residents. The analyst plays a crucial role in the success of the program.The Comptroller of Maryland is Maryland’s tax administration agency. The CompStat Analyst will support the Director, COMPStat by performing a wide variety of analytical, assessment, and administrative duties in support of the development and launching of the organization’s STAT, OpenGov, and legislative data reporting program. STAT and OpenGov processes have helped governments in Maryland and across the globe better serve their citizens. The incumbent will additionally have a role in working with partner offices within the Office of the Comptroller to project manage solutions identified at CompStat meetings.The Role Has Three Key Job Functions Data Analysis and Reporting: provide timely, accurate, and actionable data visualizations, reporting and tools to facilitate the Comptroller of Maryland’s STAT, OpenGov, and legislative reporting programs.  Data Documentation: Ensure that all data collected and analyzed has a clear meaning and that analyses can be replicated in the future.  Program and Project Management: Support the CompStat Director in the execution of multiple STAT processes throughout the organization. Resumes will not be accepted in lieu of a completed application.Minimum QualificationsEducation: Graduation from an accredited high school or possession of a high school equivalency certificate.Experience: Four years of administrative staff or professional work.Notes Candidates may substitute 30 college credit hours from an accredited college or university for each year up to four years of the required experience.  Candidates may substitute the possession of a Bachelor's degree from an accredited college or university for the required experience.  Candidates may substitute the possession of a Master's degree from an accredited college or university for the required experience.  Candidates may substitute U.S. Armed Forces military service experience as a commissioned officer involving staff work related to the administration of rules, regulations, policy, procedures and processes, or overseeing or coordinating unit operations or functioning as a staff assistant to a higher ranking commissioned officer on a year-for- year basis for the required experience.  For education obtained outside of the U.S., you will be required to provide proof of the equivalent American education as determined by a foreign credential evaluation service. If you possess a degree obtained outside of the United States, please submit a detailed, course-by-course evaluation report from one of the U.S. equivalency evaluating members identified at http://www.naces.org/members.html .Desired Or Preferred Qualifications Effective communication using Microsoft Office Suite (particularly Excel, Word, PowerPoint, and Outlook).  Expertise in Microsoft Power BI  Expertise in SQL  Work-products or work experience demonstrating excellent project management, memo-writing, and data visualization skills.  Prior experience implementing STAT or Delivery processes  Expertise in statistical software packages such as R or STATA  Computer programming languages (e.g. Python)  Mapping tools such as ArcGIS  A Bachelors or Masters Degree in Public Policy, Statistics, Economics, Business, or a similar field. LICENSES, REGISTRATIONS AND CERTIFICATIONSEmployees in this classification may be assigned duties which require the operation of a motor vehicle. Employees assigned such duties will be required to possess a motor vehicle operator's license valid in the State of Maryland.SELECTION PROCESSPlease ensure you provide sufficient information on your application to demonstrate that you meet the qualifications for this recruitment. Please indicate clearly any position-specific experience and ensure all education and experience sections are complete. Approval of your application will be based on a review of the information you submit. All qualified applicants are placed on an unranked list of candidates and will remain active on this list for at least one year. Incomplete information may result in the disqualification of your application.All information concerning your qualifications must be submitted by the closing date. We will not consider information submitted after this date.Qualifying applicants are subject to an oral interview. Prior to appointment, the employee must successfully undergo a comprehensive background check that will include fingerprinting, tax obligation, and determination of legal authorization to work in the United States.Resumes will not be accepted in lieu of a completed application. Benefits STATE OF MARYLAND BENEFITS FURTHER INSTRUCTIONSThe online application process is STRONGLY preferred. If you choose email as the option to submit your application/required additional information, you must include the following information on at least one the pages you submit. First and Last Name  Recruitment Number (located at the top of the bulletin)  The last four digits of your SSN If you have questions or concerns regarding this recruitment, please email kbeech@marylandtaxes.gov at Comptroller of MD, Office of Human Resources.If you are having difficulty with your user account or have general questions about this online application system, please contact the MD Department of Budget and Management, Recruitment and Examination Division at 410-767-4850 or Application.Help@maryland.gov .As an equal opportunity employer, Maryland is committed to recruiting, retaining and promoting employees who are reflective of the State’s diversity. Bilingual applicants are encouraged to apply.We thank our Veterans for their service to our country and encourage them to apply.Please contact Stanley Harris at sharris@marylandtaxes.gov if you need reasonable accommodations.",Mid-Senior level,Full-time,Information Technology,Government Administration,3876187543
Talentify.io,Administrative Assistant (REMOTE),Entry level,"Hiring Company is seeking a skilled and motivated individual to join the Hiring Company team as a Sales Enablement Assistant! This entry level position is a full-time, completely remote, evening shift. The Sales Enablement Assistant will act as a personal assistant to the Sales teams and a liaison between sales, project management, and customers. Administrative skills are necessary in this role.This is a role for Apple power-users, must know iWork and be skilled with iOS and macOS.Hiring Company is a rapidly growing company and the leader of solar energy in the Midwest. We offer a unique experience that fosters individual growth and rewards performance. Our culture at Everlight is extremely important to us. The work environment is fast-paced and dynamic. We value teamwork, quality, innovation, and customer success. Our ideal candidate is self-motivated, detail-oriented, has excellent problem-solving abilities, is passionate about delivering results on-time, exceeding expectations, and ensuring success for our teams. If you want to join an up-and-coming industry with a top-notch company growing rapidly in the space, Hiring Company is where you should be. Don't miss the opportunity to join the Hiring Company team!ResponsibilitiesWork closely with CEO and Executive Team to enact company goals and strategiesAttend company sponsored self-development and team building workshopsAssist Sales Managers and Consultants on project completionCollect and present data for sales teamsCommunicate with customers to gather informationAct as a liaison between sales and other teamsRequirementsSalesforce.com experience preferredStrong administration skills Ability to work independently and as a member of various teams and committeesStrong attention to detailExceptional communication and presentation skillsAbility to multi-task, prioritize, and control time effectivelyExperience with iOS and MacOSABILITY TO WORK EVENINGS - 2 pm - 10 pm CTSaturday Availability for morning training.Salary:  $30,000 - $40,000 / yearBenefitsHealth InsuranceDental InsuranceVision InsuranceLife InsurancePTOSick and Safe TimePaid Holidays OffHiring Company is proudly an Equal Opportunity Employer. We value diversity of all types and are excited to work with talented individuals from a wide range of backgrounds. Everlight is committed to inclusion and we invite people of any race, creed, color, national origin, ancestry, marital status, sexual orientation, gender identity or expression, disability, nationality or sex, age groups (18+), and levels of education to apply. Authorized to work in the US and background check required.Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",Entry level,Full-time,Administrative,Administrative and Support Services,3876343593
"Next Generation Marketing, Inc.",Brand Communications Assistant,Entry level,"Next Generation Marketing is a leading Promotional Marketing, Advertising, and Sales firm in the East Bay area. We are looking for innovative, team-oriented individuals who enjoy working with others and maintaining relationships with our prestigious clientele.The main focus of this position is to promote our clients' brand names by developing and supporting event marketing programs. This position will work closely with other team members to facilitate and execute our various marketing campaigns and client initiatives.Primary DutiesImpact sales results by developing, supporting and executing marketing and outreach initiatives Execute appointed campaigns with the purpose of promoting our clients' brands and or services Become extremely knowledgeable on each of our clients and campaigns Promote our clients directly to their target audience Job Requirements1-2 years experience or training in marketing, management or sales preferred, but willing to make exceptions for the right candidateExperience in customer service or other people-oriented fields desiredExceptional organizational and project management skillsExceptional communication skillsAbility to work independently and contribute in a team environmentDesire to succeedPOSITIONS ARE LIMITEDAPPLY TODAY**MUST BE ABLE TO START ASAP**Powered by JazzHRWLH1sB1WZ5",Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",Internet Publishing,3876188490
