company,job title,level,full description,seniority level,employment type,job function,industries,job id
Linking Minds,Customer Service Manager - Entry Level,Entry level,"Are you a dedicated, self-driven individual with a passion for providing outstanding customer support? Do you have a reputation for consistently prioritizing customer satisfaction? If so, we are looking for you to join our team as an Entry Level Customer Service Manager. Our mission is to foster positive relationships with our customers and donors, educating them about the non-profit organizations we partner with and elevating their visibility within the community. We foster a culture of continuous learning and personal development, providing the support and resources you need to excel in your role.In this role, you will be responsible for ensuring an exceptional customer experience by engaging with customers to understand their values, fostering open communication, and offering opportunities for donations. You will engage in daily interactions with customers, consistently upholding courtesy, professionalism, and kindness to create a positive impression. Your role also involves the management of donations, including tracking and processing new contributions, as well as promoting brand awareness initiatives. Additionally, you will be expected to skillfully handle customer complaints to enhance overall satisfaction.Key Responsibilities of an Entry Level Customer Service Manager:Interact with customers and members of the community and effectively resolve customer issues, complaints, and conflicts to ensure customer satisfaction and understandingMaintain a deep understanding of our client's products or services to provide accurate information to customersAdhere to company policies, procedures, and ethical standardsStay up-to-date with product knowledge, customer service techniques, and company policies through training and self-improvementMaintain detailed records of customer interactions through company’s key performance indicators provided in trainingSkills and Qualities We Seek in an Entry Level Customer Service Manager:Empathy, Patience, and Consistency: You should be capable of managing a diverse range of customer demographics, backgrounds, and personas with confidence, providing the same high level of service to each individual.Adaptability: Embrace the variability of a people-centric career, handle challenges with resilience, and tackle surprises with a sense of humor.Clear Communication: Use authentic, positive language to convey your message effectively. Stay engaged and ensure customer satisfaction with every interaction.Requirements of an Entry Level Customer Service Manager:High school diploma or equivalentPrevious customer service or related experience preferred, but not requiredProven interpersonal skills Ability to remain patient and composed, even in challenging customer situationsFlexibility to adapt to changing customer needs and departmental requirements.Effective time management and organizational skills to handle multiple customer inquiries efficiently.Adherence to company policies, industry regulations, and ethical standards.A track record of punctuality and reliability in meeting work schedules. Ability to meet or exceed company’s performance metricsPowered by JazzHRwmixERzLDJ",Entry level,Full-time,Other,Internet Publishing,3876187777
Tropical Haven Journeys,Scheduler/Remote,Entry level,"This position offers the convenience of remote work, allowing you to work from your home or any location with an internet connection.We are actively looking for a qualified Remote Scheduler to join our growing team.Taking on the role of a Full-Time Remote Scheduler presents a distinctive opportunity to enhance your skills and advance your career.If you have a strong inclination for collaboration, teamwork, and possess the necessary mindset for this role, we highly encourage you to apply for the Remote Scheduler position without delay.Key Requirements:Exceptional Customer Service SkillsProficiency in Computer and Internet OperationsHandling Customer Inquiries via Email or TelephoneFacilitating Online PaymentsDemonstrating Friendliness and ProfessionalismPosition Type: Full-timeExperience Level:No prior experience requiredWork Environment:Fully remoteGenerous CommissionsPowered by JazzHRnraWEHExzA",Entry level,Full-time,Management and Manufacturing,Internet Publishing,3876184863
Miovision,Customer Care Specialist,Mid-Senior level,"Miovision is a global industry leading company providing agencies and organizations modern tools to improve today’s traffic problems. We offer solutions that collect multimodal traffic data and uncover actionable insights, helping organizations get more out of their road network. The result: streets capable of moving more people – safely and efficiently – whether they are in a car, on a bus, on a bike or e-scooter, or walking. Since 2005, our systems have counted or assisted more than thirty billion vehicles around the world. With global headquarters in Kitchener, Canada, as well as operations in Germany, Serbia and the United States. For more information, visitPosition SummaryCJ Hensch & Associates, Inc. is based in Texas and specializes in traffic data collection and engineering studies since 1995. CJ Hensch is the largest traffic data collection company in Texas and services governmental agencies, engineering firms, and developers. In November 2023, CJ Hensch was acquired by Miovision Technologies, Inc. Miovision is headquartered in Kitchener, Canada, and has offices in Germany, Serbia, and the US. Since 2005, their systems have detected over 30 billion vehicles and 1.5 billion pedestrians, assisting nearly 2,000 customers in 63 countries. Together, CJ Hensch and Miovision are working to change the traffic data collection industry through technology, resulting in faster, accurate and more insightful data for our customers. CJ Hensch is looking for an enthusiastic individual to join our growing team and work with our customers to develop our traffic studies and ensure they are delivered on time and to the customer’s specifications.Key AccountabilitiesReceive customer requests and design traffic studies to capture requested data.Provide quotes and equipment estimates to sales and CJ Hensch Management for distribution to customers.Receive customer purchase orders, and manage CJ Hensch installation queuePerform quality control on captured field data, and communicate with CJ Hensch field personnel and customers regarding project status, and any issues that need to be addressed.Manage project workflow as it progresses through the CJ Hensch process.Work with customers regarding any issues, whether quoting, quality, invoicing or other.Skills/QualificationsHigh school diploma or equivalent required; Five (5) plus years experience in customer service field highly desirable.Proficiency in using customer relationship management (CRM) systems, ticketing software, and other relevant tools to track customer interactions and manage cases efficiently. Proficiency in Microsoft 365 product suite (MS Word, Excel, etc.)Ability to articulate clearly and effectively, both verbally and in writing. This includes active listening and empathetic communication.Deep understanding of the company's products or services, as well as policies and procedures, to provide accurate information and assistance.Collaboration with colleagues across different departments to address complex customer issues and improve overall customer experience.Capacity to build rapport and establish positive relationships with customers, colleagues, and other stakeholders.Capability to identify and resolve customer issues efficiently and effectively, often under pressure.Ability to remain calm, patient, and understanding, even in challenging situations, and to empathize with customers' concerns.Skill in managing workload and prioritizing tasks to ensure timely responses to customer inquiries and issues.Skill in managing multiple tasks simultaneously, such as handling phone calls, emails, and chat inquiries, while maintaining quality service.Perks & BenefitsComprehensive health benefits starting on day one401(k) matching Variable Incentive PlanMio-Days: We extend all three-day weekends to four-days and provide a Holiday Shutdown in DecemberInternet subsidy and a remote work allowanceUnlimited vacation policyWellness offerings (Fitness, Mindfulness)We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Please indicate if you require accommodation on your application, and our team will work with you to meet your accessibility needs.Powered by JazzHR8ALJUtTjAn",Mid-Senior level,Full-time,Other,Internet Publishing,3876186654
Nationwide Studios,Photographer,Entry level,"Nationwide StudiosNow Accepting Applications!Pre-school Photographer needed! Must have reliable transportation, Valid DL & Auto Insurance. $20/HR + mileage reimbursement.https://www.teddybearportraits.com/",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Photography,3876312606
Dudek,As-Needed Biologist,Mid-Senior level,"Who We AreDudek is a leading environmental, planning, and engineering firm that help public and private clients plan, design, and build projects that improve communities’ built and natural infrastructure. Founded in 1980, Dudek has grown steadily to more than 800 professionals across the U.S. and received the Top Workplace Award for 2024.As a 100% employee-owned company, Dudek’s culture rewards smart, productive team members with ownership, professional development, and financial benefits. We seek creative, pragmatic problem-solvers working at the intersection of science, engineering, regulations, and multiple stakeholders’ interest to help clients achieve project goals.We encourage collaboration, sustainability, and innovation.At Dudek, we abide by shared values:Trust: We trust each other to use good judgment.Respect: We act professionally and treat each other fairly.Teamwork: We come together, share openly, and apply diverse perspectives.Fun: We take our work seriously…not ourselves.Well-Being: We care about each other’s health, safety, and total wellness.Our culture is the foundation of who we are and how we work.About The JobWe are seeking as-needed individuals that qualify as level II surveyors to lead protocol-level surveys for the state and federally listed endangered blunt-nosed leopard lizard (Gambelia sila). This position will be based in the Central Valley, California.Per CDFW, an individual qualifies as a level II surveyor for BNLL if the following criteria are met:Surveyor has demonstrated the ability to distinguish BNLL from other common lizard species that may inhabit the area and has participated in at least 50 survey days for BNLL (or 25 survey days and a BNLL identification course recognized by/acceptable to CDFW).Surveyor has made at least one confirmed* field sighting of a BNLLAdditionally, CDFW recommends that surveyor qualifications be submitted to CDFW for the assessment of surveyor level qualifications.you will have the opportunity to shape.Who You AreTo thrive at Dudek, you should be comfortable with accountability, collaboration, flexibility while being a resourceful and independent thinker. We look for curious, solution-focused people who can adapt quickly to an ever-changing industry. There is no single way to solve a problem, so we encourage innovation.Duties and Responsibilities (may include some or all of the below):Ability to tolerate hot temperatures and adverse weather conditions Ability to walk long distances (between 1-10 miles) in full sun and hot temperatures. Comfortable managing small teams and ensuring that all team members are surveying transect lines appropriately (for example proper pacing and spacing between team members).Identify, record, and take notes of any species observed during surveys (general species training will be provided), and be confident identifying BNLL from other lizard species.Ability to use an electronic device (smartphone/tablet) for communication and reporting purposes.Comfortable with using and understanding digital mapping applications (such as Collector or Field Maps), as they are heavily relied on in the field for data collection. Communicate survey progress and results to overall project manager or coordinator throughout the day and at end of day. Ability to recognize when someone is showing signs of heat stress or heat stroke and take the necessary steps to mitigate harm/get them proper medical attention.Ensure all members of team have proper PPE prior to start of work each day.Follow all Dudek and project site safety protocols. Minimum RequirementsBachelor’s degree (or in-progress), Associate’s degree (or in-progress) or commensurate years of experience in biology, environmental science, or other related field is required.Must demonstrate solid written and verbal communication skills, as well as strong time management skills.Understanding of CDFW blunt-nosed leopard lizard survey protocol.Flexibility with weather and survey conditions that can change rapidly in the field, and an understanding that it may affect how many hours can be surveyed in a day, week, or month. Strong work ethic, positive attitude, and self-motivated with an interest to learn and grow.Reliable vehicle is required to travel to project site (4WD not necessary).Proof that qualifications have been sent to CDFW and they have approved person as a level II Must possess a valid driver’s license and have active personal automobile liability insurance by first day of employment.* As a federal contractor, successful candidates are required to pass the following pre-employment requirements prior to beginning employment: pre - employment drug test and background check.Physical RequirementsWorking Conditions: This job operates in an outdoor or office-based environment and this role routinely uses standard office equipment such as computers, phones, printers, etc.This job requires project site visits which are based outdoors which can include excessive noise, uneven walking surfaces, extreme weather, moving vehicles and equipment.Physical Requirements: The physical demands described here are representative of those that must be met in order to successfully perform the essential functions of the job.This job may require working on a computer, sitting or standing for long periods of time in an office or remote office setting.This job requires attending meetings, both in person and virtually as well as speaking on the phone with government agency representatives, members of the public, and others. Speaking, hearing and listening are required.Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus.Outdoor activity may involve walking/trekking in uneven terrain over long distances in extreme weather conditions for extended periods of time.Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Proposed Salary Range: $30.01-$49.99 hourly*Final agreed upon compensation will be based on a variety of factors including but not limited to an individual’s related experience, education, certifications, skills, and work location.Perks of Being a DudekianAt Dudek we will provide you with a competitive salary in an environment that promotes growth, career development, and a flexible work–life balance. Dudek offers an array of benefits, from medical, dental, and vision coverage, to the discretionary bonuses, based on firmwide, divisional, and individual performance.We also offer a yearly merit review, an employee stock ownership program, and dog friendly offices! To honor our key value of well-being, Dudek provides generous Paid Time Off (PTO) packages for both salaried and hourly employees. If you’re tired of an overly bureaucratic decision-making process and want to be part of a work culture that puts its employees first, speak with your recruiter to learn more about the great perks of being a Dudekian.As-needed and part-time employees are eligible for our 401(k) plan, sick leave, and our Employee Assistance Program (EAP). As-needed and part-time employees have the option of additional benefits like medical benefits and ESOP participation provided they meet minimum hours worked during the 12-month look back measurement period. Speak with your recruiter to learn more.Dudek is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, disability, protected veteran status, or other characteristics protected by applicable law.Dudek is a U.S.-based employer. All positions are based in the U.S. and require U.S. work authorization.Powered by JazzHRfzBjwni1h7",Mid-Senior level,Other,"Research, Analyst, and Information Technology",Internet Publishing,3876185714
HORRY COUNTY SCHOOLS,5th Grade Teacher (24-25 School Year),Entry level,"Job Title: Teacher - ElementarySupervisor: Reports to the Building Principal or other appropriate School AdministratorTerms of Employment: 190 DaysJob SummaryPosition requires the planning, organization, and implementation of the appropriate instructional program to address the learning needs of the students; to guide and encourage students to develop and fulfill their potential in both curricular and extracurricular activities.Essential DutiesPlan, prepare and deliver instructional activities that facilitate active learning experiences.Develop lesson plans.Establish and communicate clear objectives for all learning activities.Prepare classroom for class activities.Provide a variety of learning materials and resources for use in educational activities.Identify and utilize different instructional resources and methods to support the learning needs of students at varying levels of progress.Instruct and monitor students in the use of learning materials and equipment.Provide for the care and protection of school property.Use relevant technology to support instruction.Observe and evaluate student performance and development.Assign and grade class work, homework, tests, and assignments as appropriate.Provide appropriate feedback on student work.Monitor and encourage individual student progress.Provide guidance to students which will promote educational development.Maintain accurate and complete records of student progress and development.Update records accurately and completely as required by laws and district policies.Prepare required reports on students and activities.Manage student behavior and maintain discipline by establishing classroom rules and procedures and enforcing classroom, school, and district rules and procedures.Participate in department, school, and district meetings and professional development activities as appropriate.Stay current with most recent developments in appropriate subject areal as initiated by the school or district.Cooperate with and participate in the planning, implementation, and evaluation of the total school program.Foster and maintain effective communication with parents and/or guardians.Other DutiesPerform other tasks and responsibilities as assigned by the Principal or other appropriate administratorJob SpecificationsTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Minimum Qualifications (Knowledge, Skills And Abilities Required)Bachelor’s Degree or Higher from an accredited college or university.Certification as required by the state of South Carolina in the field of Elementary.Other professional and personal qualifications as deemed necessary for acceptable fulfillment of assigned responsibilities.Physical RequirementsThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this job, the employee is regularly required to walk, sit, stand and reach with hands and arms, stoop or kneel, and crouch. Duties may involve risk resulting from attending to students’ behavioral needs.Additional Physical Requirements Include The FollowingPhysically capable of frequently lifting or moving up to 40 pounds;Sufficiently mobile to ensure the safety of students;Specific vision requirements include close vision, distance vision, color vision, peripheral vision, depth perception and the ability to focus;Ability to sit and stand for extended periods of time;Manual dexterity for the purpose of using a telephone and data entry;Read a computer screen and printed material with or without vision aids;Hear and understand speech at normal levels and on the telephone; andSpeak in audible tones so that others may understand clearly in person and on the telephone.Work EnvironmentThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Duties are normally performed in a school/classroom environment. Duties may be conducted in work-related community settings and/or occasionally performed on study trips away from the school.Pay Grade: 028This job description in no way states or implies that these are the only duties to be performed by this employee. The employee will be required to follow any other instructions and to perform any other related duties as assigned by the appropriate administrator or supervisor. Horry County Schools reserves the right to update, revise or change this job description and related duties at any time without prior notice.",Entry level,Full-time,Education and Training,Education Management,3873984367
Transcend,Controller,Director,"About TranscendTranscend is the privacy platform that makes it easy to encode privacy across your tech stack.﻿We believe that engineering privacy rights and making them easily accessible to the world is one of the most high-impact ways we can spend our time. That's why we're building an ambitious team that’s passionate about solving the important problems of the future and having fun while doing it. We’re backed by Accel and Index, growing fast, and are serving some of the most iconic brands in the world.﻿(Even if you don't see a good fit below, we'd still love to stay in touch. Email us at recruiting@transcend.io).About The RoleAs the Corporate Controller at Transcend, you will lead the accounting team in managing all accounting processes across the organization to ensure compliance with US GAAP, internal policies, and external audits. You will have an extremely high degree of visibility within the organization, own reporting to the executive team, and support business partners cross functionally throughout the Company.What You'll DoScale reporting infrastructure and drive continuous improvements to existing systems to increase efficiencies, automate processes, and improve reporting timelines.Manage end-of-period closes, audit preparation, treasury operations, and tax compliance.Establish documented controls to maintain the integrity of financial reporting and corporate accounting principles in compliance with US GAAP.Coordinate with external auditors to support annual audit procedures.Who You Are10+ years of experience in accounting.Strong working knowledge of SaaS and ASC606.CPA required.Experience with Netsuite ERP and other specialized accounting systems.Big 4 Accounting background and experience in a high-growth startup preferred.Why join us?The people at Transcend are driven, kind and know how to balance work, life and memes. We learn from each other and have a strong support system.You’re joining a fast growing start up, with opportunities to help define and grow the organization.We have a strong mission to protect user privacy rights everywhere. The privacy compliance landscape is growing, and we are at the forefront of building solutions that protect user privacy rights with modern infrastructure and automation.You will have autonomy and trust to drive initiatives from the start.We believe that turning the principles of data privacy into exercisable human rights is one of the most high-impact ways we can spend our time, and so we're building an ambitious team that’s passionate about solving important problems and having fun while doing it.As the best-in-class solution in a new market, Transcend is a fast-paced and exciting workplace. The product evolves quickly to meet new client needs and adapts to the rapidly advancing world of privacy law. As one of Transcend’s earliest hires, you’ll get to work on a wide array of exciting projects.Additional InformationTranscend is an equal opportunity employer that values diversity, inclusion and belonging. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity or expression, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We will consider for employment all qualified applicants with arrest and conviction records in a manner consistent with applicable law.Our comprehensive compensation packages play a big part in how we recognize you for the impact you have on our path to bringing data rights to everyone.For this role, the estimated annual total salary ranges are below. The actual annual salary will vary based on various factors, including market and individual qualifications objectively assessed during the interview process.The listed range below is a guideline, and the annual total salary range for this role may be modified. Transcend offers attractive health benefits, equity, and perks in addition to cash compensation.BenefitsTaking Care of You and Yours ⭐Medical, dental, and vision insurance: 80% coverage for you, and 50% coverage for all your dependents.Voluntary disability insurance: short-term disability, long-terms disability, and life insurance.401(k) plan with 4% matching.Free One Medical membership sponsored by us.Access to our EAP (Employee Assistance Program).Flexible PTO 🌴Take as many vacation, sick, and mental health days as you need.13 additional company holidays, plus 4 Transcend Days Off.Generous parental leave, caregiver, emergency, and compassionate leave policies.Setting You Up For Success 💳 🥐A unique and diverse remote-first company culture, shaped by people with entrepreneurial mindset who build together and aim for excellence always.$360 a month for all meals.Flexible spending accounts for commuter costs, and healthcare expenses.Equity.The Pay Range For This Role Is200,000 - 275,000 USD per year(Remote - United States)",Director,Full-time,Accounting/Auditing and Finance,Software Development,3873992007
Omatic,Quality Assurance Engineer,Mid-Senior level,"Who We Are:Omatic solutions are purpose-built using the direct feedback of our 3,000+ social good customers. With over 80% of nonprofit organizations leveraging 4 or more cloud solutions today, the need for a uniquely tailored integration solution has never been greater.Omatic is a place where the employees thrive on helping others, both through business goals and personal pursuits. Fun, energetic, and lively are terms frequently used to describe the culture at Omatic, and this is balanced by an undercurrent of hard work and commitment. The team tackles challenges, revels in the process of solving problems, celebrates the wins for our company and our customers, all while existing to empower social good organizations.What You Will Do:The focus of this role is improving our cost-of-mistake curve by aligning our delivery teams with a shared understanding of quality before development work begins. This role will facilitate spec workshops and help the teams create executable acceptance criteria that can be published and referenced by all teams at Omatic.Facilitate delivery team spec workshops to modulate scope. This will involve working with product delivery to determine how much work should be accommodated in sprints.Provide a grouping strategy for features and abilities with the product delivery team. This will involve collaboration on and publishing of feature breakdowns.Provide an organizing strategy for executable specs with the test delivery team. This will involve the maintenance of a persistent, shareable repository of specifications.Facilitate discussions with the development team on appropriate abstractions to test at, such as unit, integration or system. This will also involve collaboration on contract tests.Facilitate additions and modifications to the style guide for all user interface elements that are undefined.What You Will Bring to Omatic:Successful candidates will demonstrate the ability to do the following:Think and act experimentally.Demonstrate how to think about test and data conditions.Articulate and demonstrate various test techniques.Articulate and demonstrate various test heuristics.Spot bad tests and turn them into good tests.Craft requirements as tests.Communicate testability ideas to engineers.Job Perks: Competitive health/dental/vision insurance, life insurance and short-term disability 401K with company match Unlimited/flexible PTO 12 weeks fully-paid parental leave Remote work schedulesPowered by JazzHRTUtUesze4X",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,3876190125
Tropical Haven Journeys,Customer Support Representative (Remote),Entry level,"Introduction:Join us as an Entry Level Travel Assistant, where you'll be instrumental in facilitating seamless travel experiences for both our clients and employees. This role is perfect for individuals who have a deep passion for travel, exceptional organizational abilities, and a dedication to providing top-notch customer service. You'll collaborate closely with clients, assisting them in crafting travel itineraries, arranging accommodations, and managing related logistics.Responsibilities:Travel Arrangement:Aid in the booking of flights, accommodations, rental cars, and other transportation options for clients and employees.Conduct thorough research to recommend travel options that meet budgetary constraints and align with individual preferences.Ensure accuracy and timeliness in preparing all travel documents and itineraries.Customer Service:Serve as the primary point of contact for travelers, promptly addressing any inquiries or concerns with professionalism.Deliver exceptional customer service to guarantee a positive and memorable travel experience for all clients and employees.Itinerary Management:Create and maintain detailed travel itineraries, encompassing flight schedules, hotel reservations, and activity bookings.Collaborate with various vendors and service providers to secure all necessary components for seamless travel arrangements.Prepare quotes, itineraries, and invoices related to travel expenses for client review and approval.Qualifications:High school diploma or equivalent; a degree in hospitality, tourism, or a related field is advantageous.Strong organizational skills with the ability to multitask effectively.Excellent communication skills and a customer-centric mindset.Attention to detail and the capability to thrive in a fast-paced environment.A genuine passion for travel coupled with a willingness to continuously learn and adapt.Perks:Remote work flexibility promoting a healthy work-life balance.Access to exclusive travel perks, discounts, and special offerings.Opportunity to contribute significantly to creating unforgettable travel experiences.Continuous training and professional development opportunities to enhance your skills.Collaborative team environment fostering creativity and personal growth.Competitive compensation package with performance-based incentives.Benefits:Flexible schedule.Travel perks.Licensed & bonded.Personal website.E&O insurance with fraud protection.Daily training available.Travel agent certification.Business opportunity.Full training provided.Work full-time or part-time.No prior experience necessary.Powered by JazzHRPs45YjPIXb",Entry level,Full-time,Other,Internet Publishing,3876190960
Tropical Haven Journeys,Customer Support Representative (Remote),Entry level,"Introduction:Join us as an Entry Level Travel Assistant, where you'll be instrumental in facilitating seamless travel experiences for both our clients and employees. This role is perfect for individuals who have a deep passion for travel, exceptional organizational abilities, and a dedication to providing top-notch customer service. You'll collaborate closely with clients, assisting them in crafting travel itineraries, arranging accommodations, and managing related logistics.Responsibilities:Travel Arrangement:Aid in the booking of flights, accommodations, rental cars, and other transportation options for clients and employees.Conduct thorough research to recommend travel options that meet budgetary constraints and align with individual preferences.Ensure accuracy and timeliness in preparing all travel documents and itineraries.Customer Service:Serve as the primary point of contact for travelers, promptly addressing any inquiries or concerns with professionalism.Deliver exceptional customer service to guarantee a positive and memorable travel experience for all clients and employees.Itinerary Management:Create and maintain detailed travel itineraries, encompassing flight schedules, hotel reservations, and activity bookings.Collaborate with various vendors and service providers to secure all necessary components for seamless travel arrangements.Prepare quotes, itineraries, and invoices related to travel expenses for client review and approval.Qualifications:High school diploma or equivalent; a degree in hospitality, tourism, or a related field is advantageous.Strong organizational skills with the ability to multitask effectively.Excellent communication skills and a customer-centric mindset.Attention to detail and the capability to thrive in a fast-paced environment.A genuine passion for travel coupled with a willingness to continuously learn and adapt.Perks:Remote work flexibility promoting a healthy work-life balance.Access to exclusive travel perks, discounts, and special offerings.Opportunity to contribute significantly to creating unforgettable travel experiences.Continuous training and professional development opportunities to enhance your skills.Collaborative team environment fostering creativity and personal growth.Competitive compensation package with performance-based incentives.Benefits:Flexible schedule.Travel perks.Licensed & bonded.Personal website.E&O insurance with fraud protection.Daily training available.Travel agent certification.Business opportunity.Full training provided.Work full-time or part-time.No prior experience necessary.Powered by JazzHRUKvLxmo3Bz",Entry level,Full-time,Other,Internet Publishing,3876197218
