company,job title,level,full description,seniority level,employment type,job function,industries,job id
Swell Content Co,TikTok & Reels Content Creator,Entry level,"Job DescriptionCompany DescriptionSwell Content Co is looking for content creators that have a passion for creating exciting, scroll-stopping UGC Video Content Creator. With Swell, clients get award winning, high-performing content delivered to you every week to fuel your paid ads, social handles, landing pages, website and more.Role DescriptionWe are looking for a content creator who will collaborate with diverse brands, creating genuine and engaging user-generated content that truly connects with audiences. At Swell, we value creative, highly organized content creators who are at the start of emerging trends on Tiktok, Reels and other social platform.In this role, you will take on the exciting challenge of researching, ideating, and producing scroll-stopping video content for 3-4 brands. Your responsibilities will include brainstorming impactful ideas, capturing high-quality video, and expertly editing content using tools like CapCut and InShot. This position demands a mix of artistic flair and technical skill, coupled with an acute understanding of brand narratives and audience engagement.Responsibilities:Script and propose video concepts that reflect each brand’s objectives. Conduct in-depth research on social platforms to uncover innovative and compelling content ideas for different brands. Record superior video footage, focusing on elements such as composition, lighting, and storytelling. Edit videos with CapCut and InShot to achieve a polished and brand-aligned finish. Stay abreast of current trends in UGC and video content, ensuring our content remains forefront and relevant. Write compelling social copy including hashtagsQualifications:Exceptional creative vision and storytelling prowess. Interest to be in content OR ability to make face-less content at scale. Skilled in video editing software, especially CapCut and InShot. Outstanding communication, organization and written updates. Capable of juggling multiple projects and adhering to tight deadlines. A fervent desire to produce captivating and original content. And understanding of what is exciting on tiktok, reels, insta and other platforms. This is an unpaid, ongoing internship opportunity to get experience with an agency and create a book of content creation. Paid opportunities may be presented during the internship.To apply please email your resume, two examples of content you have created, and any links to your social channels to hello@swellcontentco.com",Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",Marketing Services,3875006611
Integrated Finance & Accounting Solutions (IFAS),Corporate Vice President,Executive,"Job DescriptionThis position is responsible for providing operational oversight and direction to IFAS direct billable personnel within the Integrated Financial Solutions practice area. This includes employee development and training, annual evaluations, goal setting, and approving timesheets and PTO requests. Other responsibilities include the following:Serving as hiring manager to staff contracts within this practice area to including working with IFAS Talent Acquisition team to perform interviews, provide candidate evaluations and ultimately recommend new hires. Organizing and/or providing monthly Program Management Review (PMR) briefings. Ensuring Program Status Reviews are being conducted with clients and IFAS Executive Leadership. Establishing and maintaining effective Client Relationship Management to help ensure customer satisfaction. Serving as Capture Manager and/or Subject Matter Expert to help with pursuit, writing, and production of proposals to support new business development efforts within this practice area. Serving as Color Team Review member to support proposals across IFAS practice areas, contracts and/or customer base. Providing Opportunity Review briefings to ensure IFAS executive leadership is aware and approves pursuit of new business efforts. Entering and updating pipeline tool to ensure opportunities are effectively tracked throughout the business development Lifecyle. Representing IFAS at industry events to include tradeshows, conferences, and government Industry Days. Establishing and maintaining strong relationships with current or potential industry teaming partners. SkillsStrong oral and written communications and interpersonal skills to guide employees and work with the President and CEO as well as effectively communicate with cross-functional teams and stakeholders. Time management to effectively organize and deliver tasks on time. Strong analytical and decision-making skills. Financial management acumen to include the ability to manage budgets, cost control, and financial planning. Ability to lead and drive organizational change as necessary. Strategic planning skills to contribute to long-term organizational goals. QualificationsAt least 15 years of related experience supporting federal government clients especially providing financial management and/or IT support services. Prior senior leadership experience preferably at the Director level or aboveMin of BA, Master’s Degree in Business preferredIFAS is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.Company DescriptionIntegrated Finance and Accounting Solutions (IFAS) is a service-disabled veteran, woman owned small disadvantaged business firm that applies integrated finance and accounting solutions to every engagement to help clients build sustain, and maintain a profitable business model. We do this with a corporate commitment to provide on time service that is mission focused and results driven. It is our true belief that finding the right solutions to your business' mission makes doing business less challenging. IFAS' core capabilities include business & Finance operations, IT Support Services, Acquisition and logistics support.We are an equal opportunity employer.Integrated Finance and Accounting Solutions (IFAS) is a service-disabled veteran, woman owned small disadvantaged business firm that applies integrated finance and accounting solutions to every engagement to help clients build sustain, and maintain a profitable business model. We do this with a corporate commitment to provide on time service that is mission focused and results driven. It is our true belief that finding the right solutions to your business' mission makes doing business less challenging. IFAS' core capabilities include business & Finance operations, IT Support Services, Acquisition and logistics support. We are an equal opportunity employer.",Executive,Full-time,Business Development and Sales,Business Consulting and Services,3874891874
C&S Consulting,Work from Home Scheduler,Entry level,"Looking for a remote travel scheduling specialist who love to have fun booking travel. Duties include arranging transportation, accommodations, and entertainment for families, couples and individual travelers.Agents may also specialize by type of travel, such as leisure or business, or by destination. They will also promote travel packages on behalf of cruise lines, resorts, and specialty travel groups.BenefitsFlexible scheduleTravel discountsTipsOn-the-job-trainingGenerous commissions and incredible opportunity! ROLES & RESPONSIBILITYBook vacations for clientsTalk to vendors on behalf of the clientsAbility to interact, communicate and negotiate effectively RequirementsMust be 18+Attend webinar training is a must for future travelsMust have a computer or a cellphoneHigh School Diploma or GED EquivalentAbility to interact, communicate and negotiate effectivelyPrevious experience in customer service is a plus, but not required. SkillsSelf-MotivatedInternet savvyExcellent interpersonal Communication SkillsPowered by JazzHRwnWgok7RwF",Entry level,Full-time,Management and Manufacturing,Internet Publishing,3874886626
Luna Nueva Tequila,Hourly Part-Time Tequila Brand Ambassador for Tastings & Demos,Entry level,"Job DescriptionPerform demos and tastings for retail stores in the San Diego area. Pour tequila samples, educate customers on the key selling points, pass out merch and swag, and promote in-store sales.NEED someone for this Friday's 3/29/24 Demo (sampling tequila, hand out swag) from 4-7pm.",Entry level,Part-time,Sales and Business Development,Beverage Manufacturing,3874888875
Travel Yes,Assistant Administrator (Remote),Entry level,"As a Remote Assistant Administrator - Travel Associate, you will play a crucial role in supporting the efficient functioning of the administrative and travel-related aspects of the organization. This position is remote, requiring a self-motivated and detail-oriented individual who can effectively manage administrative tasks and coordinate travel arrangements for the team.Key Responsibilities:Administrative Support:Handle general administrative tasks such as email correspondence, scheduling meetings, and managing calendars.Organize and maintain files, records, and documentation for easy retrieval.Assist in preparing reports, presentations, and other documents as needed.Travel Coordination:Manage travel arrangements, including flight bookings, hotel accommodations, ground transportation, and itineraries.Ensure compliance with the organization's travel policies and guidelines.Coordinate travel logistics for team members, considering preferences and budget constraints.Communication Liaison:Serve as a point of contact for internal and external communication related to travel plans and administrative matters.Facilitate communication between team members and external stakeholders regarding travel details.Expense Management:Assist in tracking and managing travel-related expenses.Reconcile travel expenses and ensure timely submission of expense reports.Remote Support:Collaborate with team members working remotely to provide necessary administrative support.Utilize virtual communication tools effectively to stay connected with the team.Qualifications:Strong organizational and time management skills with attention to detail.Excellent written and verbal communication skills.Proficient in using office productivity tools such as Microsoft Office or Google Workspace.Ability to work independently and remotely with minimal supervision.Must be eligible to work in the United States.Working Conditions:This is a remote position, requiring a reliable internet connection and a dedicated workspace.Flexible working hours may be required to accommodate different time zones or urgent tasks. Salary: Based off commissions and performance.Powered by JazzHR43og7W3LCC",Entry level,Full-time,Information Technology,Internet Publishing,3874882924
Green Key Resources,Executive Assistant,Associate,"Join a thriving financial services firm as an Executive Assistant, supporting a Partner and their team in a dynamic and rewarding environment. This role presents an exciting opportunity for a professional who excels in providing high-level administrative support while thriving in a collaborative team setting. This is a full-time, hybrid position offering a competitive base salary of $110,000-120,000 per year, along with additional bonus opportunities.On-site Monday - Thursday, remote on FridayHours: 9 am - 5 :30 pmResponsibilities:Provide proactive and high-level administrative support to a Partner and their team, demonstrating exceptional organizational skills and attention to detail.Serve as a gatekeeper, managing phone calls, emails, and correspondence with professionalism and discretion.Coordinate complex calendars, including scheduling meetings, appointments, and travel arrangements with precision and efficiency.Prepare and distribute a variety of communications, such as agendas, letters, reports, presentations, and confidential documents, maintaining confidentiality at all times.Manage general office duties, including ordering supplies, coordinating office maintenance, and overseeing day-to-day operations.Coordinate logistics for in-person, virtual, and remote meetings, ensuring seamless execution and a professional experience for all participants.Demonstrate flexibility by assisting with ad hoc projects and providing support across various functions as needed.Requirements:4+ years of experience as an Executive Assistant or in a similar role, demonstrating a track record of success and proficiency in providing high-level support.Exceptional written and verbal communication skills, with the ability to interact effectively with executives, colleagues, and external stakeholders.Previous experience using Microsoft Teams, Word, Excel, Outlook, and PowerPoint.Strong organizational skills and the ability to multitask effectively, maintaining composure and attention to detail in a fast-paced environment.Demonstrated discretion and the ability to handle confidential information with integrity and professionalism.A proactive and collaborative mindset, with a willingness to take initiative and contribute to team success.",Associate,Full-time,Administrative,Venture Capital and Private Equity Principals and Financial Services,3875023789
C&S Consulting,Internet-Based Hotel Scheduler (Remote),Entry level,"We're on the lookout for a meticulous and customer-centric Remote Hotel Scheduler to join our team. Your primary focus will be on managing room reservations and booking accommodations for our clients. If you possess outstanding communication skills, a warm demeanor, and a love for hospitality, we encourage you to submit your application.Responsibilities:Handle all aspects of hotel reservations, from receiving inquiries to confirming room availability and making bookings.Engage with guests via phone, email, and in-person interactions to address reservation inquiries, modifications, and cancellations.Facilitate smooth check-in and check-out experiences for guests, addressing any special requests or concerns they may have.Process payments, manage reservations, and issue invoices or receipts as required.This role is fully remote, offering you the flexibility to work from the comfort of your own home or any location with an internet connection. We understand the importance of work-life balance and empower you to manage your workload according to your lifestyle.Moreover, this position isn't just a job; it's an opportunity to build your own business within our framework. With dedication and hard work, you can shape your financial future while enjoying the support and resources we provide. You'll have the chance to turn your passion for hospitality into a thriving career.Here's what we offer:One of the highest paid out travel commissions in the industry based on your successful bookings.Comprehensive training and ongoing development programs to ensure your success.A dynamic and supportive community of like-minded individuals who are passionate about what they do.Exposure to a diverse range of projects, from corporate conferences to weddings, allowing you to gain valuable experience and expand your skill set.Travel perks, competitive salary, and a flexible remote work environment.Qualifications:Excellent communication and interpersonal skills, coupled with a welcoming attitude.Strong organizational skills and the ability to multitask effectively.Attention to detail and accuracy in all tasks.Ability to work independently as well as part of a team.Proficient knowledge of travel destinations, attractions, and various travel products and services.Exceptional customer service and problem-solving abilities.A genuine passion for travel and a desire to help others create memorable experiences.Must be at least 18 years old and a US resident.Join us and embark on an exciting journey where your expertise and hard work are truly valued.Powered by JazzHR4YpRPVSrCh",Entry level,Full-time,Management and Manufacturing,Internet Publishing,3874885898
Motion Recruitment,Corporate Recruiter,Mid-Senior level,"Position: Senior RecruiterLocation: Atlanta, GA, for occasional office meetings.Overview:The Senior Recruiter will be responsible for managing recruitment efforts for designated areas within a major Enterprise. This role involves developing talent acquisition strategies in collaboration with HR and Talent Acquisition leadership, managing the full recruitment lifecycle, and ensuring the best hiring decisions are made. Strong communication, relationship-building, and project-planning skills are essential for success in this role.Major Tasks and Responsibilities:Develop and implement function-specific talent acquisition plans based on strategic planning information to build a strong external talent pool.Perform full lifecycle recruiting, including sourcing, screening, interviewing, and salary negotiation with a focus on diversity.Maintain communication with business partners to ensure staffing effectiveness and efficiency.Execute recruitment plans to achieve staffing metrics and provide status reports on candidate quality, throughput, and time to offer.Build and maintain strong relationships with stakeholders to meet talent acquisition goals and resolve issues.Develop individualized sourcing strategies, including cold calling, networking, and engaging passive candidates.Ensure compliance with federal, state, and local laws as well as company policies in all talent acquisition activities.Required Skills and Background:Bachelor's degree.4+ years of recruiting experience focusing on Professional-level resources such as IT, Finance, Supply Chain, and Marketing.Full lifecycle recruiting experience, including stakeholder management, sourcing, candidate presentation, and process management.Excellent interpersonal, collaboration, and communication skills.Familiarity with Applicant Tracking Systems (ATS) and Human Capital Management (HCM) systems.Ability to define recruiting strategy and fulfillment planning.Proven track record of finding and filling niche professional skills.This position offers 100% remote work with occasional office meetings in Atlanta, GA. The Senior Recruiter will play a crucial role in attracting and hiring top talent to support the enterprise's functional areas.",Mid-Senior level,Contract,Human Resources,Staffing and Recruiting,3875007412
Navigate New Horizons,Online-Sports and Events Travel Booker,Entry level,"Are you ready to break away from the traditional 9-5 routine and take charge of your destiny? Seize the chance to embark on an entrepreneurial journey with our Sports and Events Travel Booker business opportunity. Bid farewell to the conventional boss-employee dynamic and welcome the autonomy of being your own boss, all while benefiting from the support of a host agency in the dynamic travel industry.Why Choose Sports and Events Travel:Freedom from the 9-5 Grind: Embrace a lifestyle where you dictate your schedule and priorities.Unleash Your Entrepreneurial Spirit: Enter the world of entrepreneurship and carve out your unique path.Thriving Sports and Events Travel Industry: Join a dynamic sector brimming with endless opportunities for growth.Your Role:Collaborate with clients to curate unforgettable travel experiences for sports events, concerts, and more.Utilize your entrepreneurial flair to establish and manage your own business in the travel industry.Harness the support and resources of a host agency to streamline your journey to success.Stay informed about industry trends, sports calendars, and event schedules to provide top-notch service.Qualifications:Passion for Sports and EventsEntrepreneurial MindsetExcellent Communication SkillsOrganizational ProwessTech Proficiency for Remote WorkWhat We Provide:Comprehensive Training and SupportAccess to Established Industry NetworksFlexibility to Work from AnywhereEntrepreneurial IndependenceTravel Perks and IncentivesMake the leap into entrepreneurship, bid farewell to the traditional work structure, and become a Sports and Events Travel Booker. With the support of a host agency, this business opportunity allows you to shape your success story in the ever-thriving world of sports and events travel. Don't just dream it—live it as your own boss! (1099 Business Opportunity) Join our team now to unlock your freedom and start your Entrepreneurial Journey in the Travel Industry.Powered by JazzHRhPuxeCDEsw",Entry level,Part-time,"Marketing, Public Relations, and Writing/Editing",Internet Publishing,3874885743
Directions for Living,Vice President of Strategic Initiatives - Clinic,Executive,"Job DescriptionDo you envision working for a dynamic, mission-driven organization that supports the community while fostering an employee culture of appreciation and fun? If your answer is yes, then an employment opportunity at Directions for Living may be a great fit for you! We offer an excellent salary and benefits package to include employer-paid health insurance premiums for all full-time employees, PTO and paid company holidays, 403b retirement, EAP, and year-round employee wellness and appreciation initiatives.Position Summary:The Vice President of Strategic Initiatives reports to and is responsible to the President & Chief Executive Officer (CEO) of the agency. The Vice President of Strategic Initiatives participates in the Executive Leadership Team in developing and implementing a mission, vision, and strategic plan for the agency, setting annual objectives for service programs, and ensuring the implementation of action plans to achieve objectives. The Vice President of Strategic Initiatives will partner with his/her peer (VP-level executives) and will be responsible for developing, implementing, and managing, in conjunction with the Vice President of Finance, the operational aspect of the annual budget. The Vice President of Strategic Initiatives represents the agency to all constituencies as designated by the President & CEO. The Vice President of Strategic Initiatives will cultivate existing relationships with public and private funders. Provide effective and inspiring leadership by being actively involved in all programs and services, developing a broad and deep knowledge of all programs Identify opportunities for Directions for Living to leverage cross-program strengths to take advantage of new opportunities and/or to address agency challenges. This is a key performance indicator. Lead, coach, develop, and retain Directions for Living high-performance senior management team with an emphasis on developing capacity in strategic analysis and planning, and program budgetingDirections for Living is an essential services provider. All Directions for Living employees must be willing and able to provide vital support and essential services to the people that we serve in the event of an emergency, pandemic or other disaster situation.EDUCATION EXPERIENCE/REQUIREMENTS: Must hold a Master's level degree from an accredited program in business, psychology, administration, social work, psychology, nursing, or a related field. At least ten (10) plus years of relevant experience in senior administrative or clinical programming.  Clinical and supervisory experience with progressive responsibilities for at least five (5) years.  LCSW or LMHC preferred.  Previous experience in Child Welfare is a plus. EOE/ADA/DFWSmoke Free CampusCompany DescriptionOur mission is to be a welcoming and compassionate provider, advocate, and partner to children, adults, and families in need of integrated healthcare, social support, safety, and hope for the future.Thriving children. Empowered adults. Strong families.Our mission is to be a welcoming and compassionate provider, advocate, and partner to children, adults, and families in need of integrated healthcare, social support, safety, and hope for the future. Thriving children. Empowered adults. Strong families.",Executive,Full-time,Business Development and Sales,Mental Health Care,3874889734
