company,job title,level,full description,seniority level,employment type,job function,industries,job id
Mindrift,Proofreader (Remote) - Freelance,Mid-Senior level,"If you're a professional editor, we have an exciting opportunity to use your language skills in a new and innovative way. Instead of thinking that AI will replace you, here you can help shape the future of AI.We’re seeking freelance editors to collaborate with us creating a diverse range of content.You will use your language skills to create texts covering a wide range of topics. Following our style guide and other quality guidelines, you will create and check responses that will form the “voice” of future AI. You will create and edit original, helpful, honest, and harmless responses; fact check existing responses; bring submitted texts up to our standards; and work directly with Team Leads to help provide feedback to writers and other participants to ensure they can regularly produce high-quality work.RequirementsAt least 2-3 years of professional experience in writing and editing textA degree in communications, linguistics, literature, journalism, or similarNative level of EnglishWillingness to learn new methods, ability to switch between projects and topics quickly and sometimes work with challenging, complex guidelinesA laptop, internet connection, availability, and enthusiasm to take on new challengesBenefitsAI Training will be a fast-growing area in the future, we offer an opportunity to jump onboard, learn with us and create a new skill set for the future.This is a freelance role, it can be done part time alongside other work, although we do hope that you’ll dive deep with us, join in with our community and collaboration and grow alongside us.",Mid-Senior level,Part-time,"Marketing, Public Relations, and Writing/Editing","Technology, Information and Internet",3868760251
Seronda Network,Data Entry Specialist,Entry level,"Join Seronda Networks as a Data Entry Specialist!About Us: Seronda Networks is not just a workplace; it's a vibrant community where innovation thrives, and every voice is heard. We're committed to providing cutting-edge solutions and fostering a culture of growth and collaboration. Join us as we transform ideas into reality and create a brighter future together.Location: Denver, ColoradoWorking Hours: Monday to FridayHourly Rate: $17.00 - $19.00 per hourData Entry Specialist Overview: As a Data Entry Specialist at Seronda Networks, you'll play a pivotal role in maintaining accurate and organized data that fuels our operations. Your attention to detail and dedication to accuracy will ensure that our information remains reliable and up-to-date, helping us make informed decisions and achieve our goals.Responsibilities: Enter data into our systems accurately and efficiently. Verify and correct any discrepancies in the data to ensure accuracy. Organize and maintain electronic and paper files for easy access. Assist in generating reports and analyzing data as needed. Collaborate with team members to ensure data integrity and consistency. Follow data entry procedures and protocols to maintain confidentiality and security.Qualifications: High school diploma or equivalent required; additional education in data entry or related field is a plus. Proficiency in typing and data entry skills with a high level of accuracy. Strong attention to detail and organizational skills. Ability to work independently and prioritize tasks effectively. Familiarity with Microsoft Office Suite and data entry software preferred. Previous experience in data entry or administrative support role is advantageous.Benefits: Competitive hourly rate with opportunities for advancement. Flexible work hours and potential for remote work options. Comprehensive health, dental, and vision insurance plans. 401(k) retirement savings plan with employer match. Paid time off and holidays. Ongoing training and professional development opportunities. Supportive and collaborative work environment.If you're ready to make a difference and be part of a dynamic team, apply now to join Seronda Networks as a Data Entry Specialist! Together, let's shape the future and build something remarkable.Seronda Networks is an equal opportunity employer committed to diversity and inclusion.",Entry level,Full-time,Administrative,Staffing and Recruiting,3868734834
Quaker Houghton,Director Global Procurement - Corporate Services,Director,"Company Overview:At Quaker Houghton, we are experts in the development, production and application of chemical specialties, process fluids, lubricants, and coatings for the manufacturing industry. We have been an integral part in the growth of the world’s largest industrial companies and to this day our experience and expertise show in the actions and dedication of our Associates worldwide. Today, we have a global presence, with our corporate headquarters located in Conshohocken, PA. Quaker Houghton is a global publicly traded company with a unique collaborative culture that supports career growth for its associates and offers competitive compensation and benefit programs.Position Summary: The Director, Global Procurement – Indirect Materials & Corporate Services leads the Indirect Procurement Organization which includes the categories of IT, Travel, Finance, HR, and Real Estate. Provides leadership, vision, direction, and structure as part of the Global Procurement Leadership Team. Responsible for the development and execution of global sourcing strategies of indirect materials. Through a team of Category Managers is accountable for driving the planning and execution of the procurement strategy goals and objectives.Accountabilities:Responsible for leading Corporate Indirect Procurement Organization which includes the Categories of IT, Travel, Finance, HR, and Real Estate. Ensures global functional category strategies are developed and operationalized through competitive bid processes (RFI, RFP, RFQ), online auctions, negotiations, contracting, and supplier relationship management. Responsible for transforming the Global Indirect Procurement Corporate Services Team to support the QH’s growth while ensuring overall compliance to budgets, contracts, and policy. Conduct business review meetings with key stakeholders / business lines to assess risk, review future strategies, and identify potential cost down and improvement opportunities. Shared ownership of driving the QH’s Procurement value creation to support the company profitability Works with the Business line leadership to set the goals, objectives and measures that maximizes Business profitability. Maintain strong working relationships with strategic suppliers to assure cost, quality, and delivery targets are met. Establish and maintain measurable performance metrics for all levels of procurement activities to include but not limited to supplier performance, supplier quality, internal order placement performance, category manager productivity measures, transactional and tactical platform support, financial (AP) performance, and quality assurance. Leverage portfolio scale for the categories under management to drive out waste while improving our overall cost position and service levels. Partner with internal stakeholders at a senior leadership level to develop future strategy in alignment with business plans. Accountable for meeting all Business line related Procurement goals and objectives. Work Environment:Typical light office workInfrequent manufacturing environment exposureDomestic and international travel up to 25%Required Education and Experience:University degree (Business / Chemistry / Engineering Preferred), Master’s degree is a plus+10 years procurement experience Experience in procurement transformation (preferred) Strong background in indirect procurement including IT, Travel, and Finance5+ years of direct line management experience Relevant professional procurement certification preferred (e.g.; ISM, CIPS). +3 Years Working in global teams inclusive of a global matrix (leading by influence)Required Skills and Competencies:Demonstrated experience partnering with senior business leaders to advise and drive key business decisions. Experience managing supplier and customer relationships and the competitive bidding process. Proven record of driving cost savings throughout an organization. Experience with progressive sourcing tools, such as cost structures, supplier business plans, electronic auctions, multi-year cost savings agreements, etc. Service-oriented mindset, with a desire to ensure client satisfaction. A Proven champion in change management and continuous improvement Results-oriented leadership approach in complex environments Effective communication and interpersonal skills (team player with ability to effectively influence others to action)Strong software skills including Excel, Word, PowerPoint. Mastery Fluency in EnglishQuaker Houghton is an equal opportunity employer committed to creating a diverse workforce. Quaker Houghton provides equal employment opportunity for all qualified candidates. Quaker Houghton does not discriminate against any candidate for employment based on race, color, religion, sex, gender, gender identity or expression, affectional or sexual orientation, pregnancy, age, creed, ancestry, national origin, citizenship, marital or domestic partnership or civil union status, veteran’s status, physical/mental disability, genetic information, or any other category protected by U.S federal, state, and/or local employment law. Furthermore, Quaker Houghton is committed to providing reasonable accommodations to qualified candidates with physical and/or mental disabilities. Applicants with a disability who need assistance applying for a position may email OneHR@quakerhoughton.com .",Director,Full-time,Purchasing and Supply Chain,Chemical Manufacturing,3868742008
Seronda Network,Entry Level Marketing Assistant,Entry level,"Seronda Networks is Hiring: Entry Level Marketing AssistantAbout Us: Seronda Networks isn't just a workplace; it's a vibrant community of innovators dedicated to pushing boundaries and shaping the future of marketing. Join our team and become part of a dynamic environment where your growth is encouraged, your ideas are valued, and your contributions truly make a difference. Let's work together to turn visions into reality and create an inspiring future.Location: Denver, ColoradoWorking Hours: Monday to FridayHourly Rate: $27.50 - $35.50 per hourEntry Level Marketing Assistant Overview: As an Entry Level Marketing Assistant at Seronda Networks, you'll play a vital role in supporting our marketing efforts and contributing to our overall success. This is an exciting opportunity to gain hands-on experience in a fast-paced environment while working alongside a passionate team of professionals.Responsibilities: Assist in the creation and implementation of marketing campaigns and strategies. Collaborate with team members to develop engaging content for various channels, including social media, email, and website. Conduct market research and analysis to identify trends and opportunities. Assist in organizing and coordinating marketing events, promotions, and product launches. Monitor and track marketing metrics and performance to measure the effectiveness of campaigns. Provide administrative support to the marketing team as needed.Qualifications: Bachelor's degree in Marketing, Communications, or related field preferred. Strong written and verbal communication skills. Excellent organizational and time management abilities. Ability to work effectively in a team environment and collaborate with cross-functional teams. Proficiency in Microsoft Office Suite and familiarity with marketing software/tools is a plus. Previous internship or coursework in marketing is advantageous but not required.Benefits: Competitive hourly rate with opportunities for advancement. Flexible work hours and potential for remote work options. Comprehensive health, dental, and vision insurance plans. 401(k) retirement savings plan with employer match. Paid time off and holidays. Ongoing training and professional development opportunities. Supportive and inclusive work environment.If you're ready to kickstart your career in marketing and contribute to our journey of innovation, apply now to join Seronda Networks as an Entry Level Marketing Assistant! Let's build a brighter future together.Seronda Networks is an equal opportunity employer committed to diversity and inclusion.",Entry level,Full-time,Marketing and Sales,Staffing and Recruiting,3868735290
Actalent,Architectural Designer,Entry level,"Description:The Project Designer is responsible for the creation and production of technical drawings to support all aspects of our Architecture and Interior Design projects.Must HavesArchitectural Degree - Associates, Bachelors, or 2 year technical certificationRevit experience1-3 years experienceSkills:Architectural design, drafting/design, Revit, Interior design, AutocadExperience Level:Entry LevelAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Business Consulting and Services,3868739623
Actalent,Architectural Designer,Entry level,"Actalent is hiring a Designer to join a growing team in Tigard working on some exciting projects!WHY ACTALENT Work with a dedicated career partner specialized in your Construction Management skill setWe advocate on your behalf so you get what you want and need out of your jobGet performance feedback, career advice, and access to ongoing professional development toolsBuild your career and learn new skills through projects as diverse as your curiosityYou are eligible for benefits, paid-time-off, and competitive wages that are paid weeklyDescription:We are actively seeking a Designer with at least 3 years of professional design experience using AutoCAD in an Architectural setting. This person will be using AutoCAD to produce construction documents and help with the overall production of drawings for company projects. They will be responsible for: redlining, mark ups of drawings, and design development.Top Skills Details:Autocad,Design,architecture,construction document,cad,drafter autocad,drafting,architectural design,SketchupAdditional Skills & Qualifications:Preferred Bachelor's Degree In ArchitectureRequired Software:AutoCADSketch-upMS Office (Word processing and Spreadsheet Skills)Benefits:The Company has been around since 1994 and pride themselves on repeat clients, relationships and their reputation. They are never going to be the firm that has the best marketing, because they don't need it. They are at a point where they're turning down business because the clients they get they KEEP.Medical, Dental, Vision coverage available40 hours accrued sick time40 hours accrued vacation6 paid holidays401kEmployee Assistance ProgramUdemy ongoing education program360 degree performance review processAbenity Discount ProgramDIVERSITY, EQUITY & INCLUSION At Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culturethrough:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleAbout ActalentActalent connects passion with purpose. We help visionary companies advance their engineering and science initiatives through access to specialized experts that drive scale, innovation, and speed to market. With a network of almost 30,000 engineering and sciences consultants and more than 4,500 clients across the U.S., Canada, Asia, and Europe, Actalent serves many of the Fortune 500. An operating company of Allegis Group, the global leader in talent solutions, Actalent launched as a new specialized engineering and sciences services and workforce solutions brand in 2021.Actalent is an equal opportunity employerAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Business Consulting and Services,3868739381
Rumble Boxing,Studio Coordinator - Marina Training,Entry level,"CAREER OVERVIEW:As the first people clients see when they enter one of our studios, Rumble Studio Coordinators need to be experts in customer service and hospitality. Coordinators should be well-versed in all aspects of our fitness program and business.Coordinators have the opportunity to lead and work significantly in areas of the business that interest them - retail, private training, marketing, social media, events, etc. Rumble is a rapidly growing business, providing Coordinators with an amazing opportunity to learn on the job and grow within the company.QUALITIES:You are passionate. You are passionate about empowering your fellow employees and our clients through the Rumble workout and experience.You are both creative and logical. Your right brain and left brain operate in sync, and you can brainstorm innovative ideas for any challenge.You are a ferocious communicator. You have a strong understanding of email and phone etiquette, and you can articulate your point to even the most difficult of listeners.You can work as a team. You have the ability to make the weakest link strong, you are fearless in your communication, and you have the ability to effectively lead the team to ensure that tasks and goals are completed.You create an empowering environment. You bring something new to the table, and you have exciting and well-rounded ideas to share with the team.You are driven. You desire growth within our team and Rumble family.You are a studio fitness buff. You love the Rumble workout, and you have the ability to perform physical requirements of the position.RESPONSIBILITIES:Provide high level customer service and hospitalityAssist studio management in daily studio tasks and projectsMaintain a positive attitude and take initiativeSupport trainers and ensure that class check-in process runs smoothlyWork as a cohesive team with all staff members (maintenance, trainers, etc.) to ensure efficiencyMaintain product knowledge for all retail in the studio and onlineAssist with the training of new hires for the front desk teamMaintain the distinct Rumble aesthetic, atmosphere, and cultureREQUIREMENTS:Marina Training location is hiring specifically for Coordinators with midday availability of 10AM - 1:30PM.Must have the ability to prioritize and multi-task within a fast-paced environmentMust have a positive, can-do attitudeMust be willing to initiate tasks and perform duties without directionMust have the ability to learn computer interfaces and systems quicklyMust have a friendly and professional phone and email etiquetteMust have the flexibility to work a non-traditional work scheduleBENEFITS & PAY:$16.99 / hourCompetitive PayGrowth PotentialComplimentary Rumble ClassesOpportunity to earn Commission",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Staffing and Recruiting,3868740034
Spotnana,People Operations and Office Coordinator,Entry level,"Are you ready for the best destination of your career?Spotnana is modernizing the infrastructure of the $1.4 trillion travel industry in order to bring freedom, simplicity, and trust to travelers everywhere. With over $115M in funding from top tier investors, including ICONIQ and Madrona Venture Group, we are tackling the hardest problems the travel industry has to offer and we need your help.Culture Is Always Fluid. It Evolves As a Business Grows, Along With The People Who Drive It Forward. We Seek People Who Have Different Perspectives, But Shared Values. Before You Embark On This Journey, Quickly Check In On Whether You Are Aligned With Our Company Values Obsessed with Customer Needs: We earn the trust and loyalty of our customers by solving their problems. Do the Impossible: We solve tough problems through innovation and are inspired by unprecedented challenges. Build Globally, Serve Locally: We embrace a global mindset and celebrate diversity as we serve customers around the world. Act Like Owners: We constantly find problems to solve. Decisions are not made in isolation. We work hard, work smart, and work together. Constantly Change, Learn & Evolve: We flourish by adapting quickly to new challenges and by learning from everyone around us. Building something new is not always glamorous work. Roll up your sleeves, get your hands dirty, and evolve. Respect Above All: We are humble and treat others with the same respect we desire for ourselves. Our work culture is a safe environment where everyone is open to feedback and new ideas.What You’ll OwnSupport all People Operations programs, processes, and procedures related to the entire employee lifecycle including but not limited to on-boarding and off-boarding, HR compliance, HRIS management, policy and employee handbook development, and internal mobilityLead the onboarding experience for new hires ensuring a positive and effective experience from the first touch point and through their first 90 daysHost weekly onboarding sessions to help new hires learn and navigate the organizationDrive the immigration process for our employees by working closely with our immigration partner and providing strong customer service and communication to employeesProcess all employee changes promptly including document generation and notificationsContinually evaluate all people processes for efficiency and scalabilityEnsure all people data is accurate and auditedSupport in the preparation of reports to highlight trends and opportunitiesBe the first point of contact for employee questions and employment verification requests and escalate issues to other members of the People team as appropriateMaintain all People Team documentation including internal policies, processes, and our knowledge base Collaborate with other members of the People team to manage the People team help deskPartner with IT for onboarding, off-boarding and to develop scalable support processesEnsure all process and data remains compliant and supports any auditsPartner closely with payroll to ensure all changes, updates, etc are properly communicated and executed accuratelyCreate and foster an excellent in-office experience for employees in our US and UK officesManage office administration for all the US and UK officesSet-up and welcome all new hires, candidates, clients and visitors to Spotnana offices with excellent customer serviceMaintain the day-to-day of office operations including building access, mail, packages, deliveries, office supplies, snacks/beverages, catering and event supportAssist the global people team with projects and initiatives as needed (ie: training and recruiting)Support employee experience programs to help make Spotnana the best moment of our employee’s careersExperience To Bring With You1-2 years of related experience; tech and/or start-up experience is a plusBachelor's degree or equivalent professional experienceBasic understanding of human resource principles, practices and proceduresStrong verbal and written communication skillsAbility to work in a dynamic, ambiguous and fast-paced environmentExcellent organizational skills and attention to detailYou are a problem solver and someone who loves taking initiative Passion for our values, culture and creating and maintaining a positive and exciting work environmentPrevious experience with HRIS systems such as BambooHR, Workday, ADP, etc.Authorization to work in the U.S.Willing and able to work from our Palo Alto, CA office weekly, Monday-Thursday - This is not a remote eligible positionLet’s Talk Compensation.Spotnana strives to offer fair, industry-competitive, and equitable compensation. Our approach holistically assesses total compensation, including cash, company equity, and comprehensive benefits. Our market-based compensation approach uses data from trusted third-party compensation sources to set salary ranges that are thoughtful and consistent with our team's role, industry, company size, and internal equity. Each employee is paid within the minimum and maximum of their position’s compensation range based on their skills, experience, qualifications, and other job-related specifications.The annual cash compensation range for this role is $70,000 - $80,000Benefits Offered IncludeEquity in the form of stock options provides partial ownership in the company so you can share in the success of the company as it growsPre-tax and ROTH 401(k) options via Fidelity with up to a 4% company matchComprehensive benefit plans covering medical (United Healthcare or Kaiser), dental (Guardian), vision (Guardian), life (Mutual of Omaha), and disability (Mutual of Omaha) effective on your hire date. We cover 100% of your employee premiums and 85% of your eligible dependentsPre-tax flexible spending account options for health, dependent care, and commuter expenses20 vacation days per year in addition to 10 company holidays, four company recharge/wellness days, and an end-of-year company shutdownUp to 26 weeks of Parental LeaveMonthly cell phone/internet stipendAdditional benefits include access to International Airlines Travel Agent Network (IATAN) membership, Pet Insurance through Fetch, Financial Wellness through Origin and SoFi, EAP through Mutual of Omaha, The Calm app through Kaiser, pre-tax parking/transit program, and more.We are committed to fostering a diverse, inclusive environment and to encourage these values in everyone on our team. We provide an environment of mutual respect where opportunities are available without regard to race, color, religion, sex, pregnancy (including childbirth, lactation, and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. We believe that diversity and inclusion for people from all walks of life are key to our success as a company.We are committed to fostering a diverse, inclusive environment and to encourage these values in everyone on our team. We provide an environment of mutual respect where opportunities are available without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. We believe that diversity and inclusion for people from all walks of life is key to our success as a company.",Entry level,Full-time,Human Resources,Software Development,3868772545
Actalent,AutoCAD Drafter,Entry level,"Actalent is Hiring for AutoCAD Drafters!!!Our clients are located in Blair, NE and is searching for an AutoCAD drafter to bring onto their team. WHY ACTALENT  Work with a dedicated career partner specialized in your engineering skill set  We advocate on your behalf so you get what you want and need out of your job  Get performance feedback, career advice, and access to ongoing professional development tools  Build your career and learn new skills through projects as diverse as your curiosity  You are eligible for benefits, paid-time-off, and competitive wages that are paid weekly Description:This candidate will be in charge of drawing the plans for cables for civil planning for commercial areas. This will include but is not limited to the following: sizing of serving boundaries using GIS address data; laying out feeder routes, distribution routes, and drops to premises; determining fiber allocations; reviewing field staking sheets and determining the best construction method for design, and producing constructible design packages using GIS based software ArcMap. Provide CAD support for fiber systems through creation of permit plan and profile drawings, construction drawings and conduit designsSkills:Drafter, AutoCAD, Cable, Drawing, Redlines, civil design, telecommunications construction, Design, Cad, fiber optic design, mapping software, gis, gis analysis, data integrationAdditional Skills & Qualifications: Associates Degree in drafting or related  The best candidate has 3 years AutoCAD from school or work OR 1 year Civil Mapping Preferred (GIS)  Fiber design experience is a preferred BENEFITS: Medical, dental, and vision insurance  Paid holidays  Paid time off  401k DIVERSITY, EQUITY & INCLUSIONAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through: Hiring diverse talent  Maintaining an inclusive environment through persistent self-reflection  Building a culture of care, engagement, and recognition with clear outcomes  Ensuring growth opportunities for our people About ActalentActalent connects passion with purpose. We help visionary companies advance their engineering and science initiatives through access to specialized experts that drive scale, innovation, and speed to market. With a network of almost 30,000 engineering and sciences consultants and more than 4,500 clients across the U.S., Canada, Asia, and Europe, Actalent serves many of the Fortune 500. An operating company of Allegis Group, the global leader in talent solutions, Actalent launched as a new specialized engineering and sciences services and workforce solutions brand in 2021.Actalent is an equal opportunity employer.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Business Consulting and Services,3868752318
Actalent,Interior Designer,Entry level,"Job DescriptionWe are seeking a talented and dedicated Designer to join our integrated design team to support our interiors work. This role involves contributing to the design and delivery processes in line with client goals, budget, and schedule constraints. As a Designer, you will prepare and develop various design documents, collaborate on complex project designs from schematic design through construction administration, and develop comprehensive material palettes. Expect to be part of diverse projects, including civil, justice, and other government buildings, as well as a variety of other commercial building types.The initial project involves a 3-story renovation of a prominent corrections facility, with opportunities to support additional civil, justice, and higher education projects. This role may require occasional travel for project meetings and site surveys.Hard SkillsBachelor's Degree in Interior Design, Interior Architecture, Architecture, or equivalent.Minimum of 4 years' experience in commercial interior design, with projects involving justice, civic, or government buildings being a plus.Proficiency in Revit, AutoCAD, Adobe Creative Suite, and Microsoft Office suite. Experience with SketchUp and 3D Max/V-Ray is advantageous.NCIDQ certification, or the intent to achieve it.Strong creative design, drawing skills, and 3D design/modeling ability.Soft SkillsExcellent graphic and oral design presentation skills.Ability to think conceptually in terms of design.Capability to travel occasionally to support project tasks.Ability to work both independently and collaboratively in a cross-disciplinary team environment across multiple offices.Interest in sustainable design practices.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Business Consulting and Services,3868743466
